occlusion_level,bucket,model_a,model_b,n_segments,n_tracks,ret_a,ret_b,effect_pp,seg_lo,seg_hi,trk_lo,trk_hi,CI_chua_0
full,medium,KF + CV,EKF + CTRV,78,73,0.0641,0.1154,-5.13,-11.54,0.0,-11.54,1.22,True
full,medium,KF + CV,UKF + CTRV,78,73,0.0641,0.0769,-1.28,-7.69,3.85,-6.76,3.95,True
full,medium,KF + CV,EKF + CTRV (chan w),78,73,0.0641,0.1026,-3.85,-8.97,1.28,-9.46,1.3,True
full,medium,EKF + CTRV,UKF + CTRV,78,73,0.1154,0.0769,3.85,0.0,8.97,0.0,8.64,True
full,medium,EKF + CTRV,EKF + CTRV (chan w),78,73,0.1154,0.1026,1.28,0.0,3.85,0.0,3.95,True
full,medium,UKF + CTRV,EKF + CTRV (chan w),78,73,0.0769,0.1026,-2.56,-7.69,2.56,-7.79,2.5,True
full,short,KF + CV,EKF + CTRV,180,156,0.2333,0.2333,0.0,-1.67,1.67,-1.65,1.66,True
full,short,KF + CV,UKF + CTRV,180,156,0.2333,0.2333,0.0,-1.67,1.67,-1.65,1.66,True
full,short,KF + CV,EKF + CTRV (chan w),180,156,0.2333,0.2333,0.0,-1.67,1.67,-1.65,1.66,True
full,short,EKF + CTRV,UKF + CTRV,180,156,0.2333,0.2333,0.0,0.0,0.0,0.0,0.0,True
full,short,EKF + CTRV,EKF + CTRV (chan w),180,156,0.2333,0.2333,0.0,0.0,0.0,0.0,0.0,True
full,short,UKF + CTRV,EKF + CTRV (chan w),180,156,0.2333,0.2333,0.0,0.0,0.0,0.0,0.0,True
partial,long,KF + CV,EKF + CTRV,463,436,0.1814,0.1685,1.3,0.22,2.59,0.21,2.58,False
partial,long,KF + CV,UKF + CTRV,463,436,0.1814,0.1749,0.65,-0.65,1.94,-0.65,1.96,True
partial,long,KF + CV,EKF + CTRV (chan w),463,436,0.1814,0.1685,1.3,0.22,2.59,0.21,2.58,False
partial,long,EKF + CTRV,UKF + CTRV,463,436,0.1685,0.1749,-0.65,-1.73,0.22,-1.7,0.22,True
partial,long,EKF + CTRV,EKF + CTRV (chan w),463,436,0.1685,0.1685,0.0,0.0,0.0,0.0,0.0,True
partial,long,UKF + CTRV,EKF + CTRV (chan w),463,436,0.1749,0.1685,0.65,-0.22,1.73,-0.22,1.7,True
partial,medium,KF + CV,EKF + CTRV,499,421,0.477,0.4749,0.2,-1.2,1.6,-1.41,1.8,True
partial,medium,KF + CV,UKF + CTRV,499,421,0.477,0.4749,0.2,-1.2,1.6,-1.21,1.61,True
partial,medium,KF + CV,EKF + CTRV (chan w),499,421,0.477,0.477,0.0,-1.6,1.6,-1.66,1.62,True
partial,medium,EKF + CTRV,UKF + CTRV,499,421,0.4749,0.4749,0.0,-1.0,1.0,-1.02,0.96,True
partial,medium,EKF + CTRV,EKF + CTRV (chan w),499,421,0.4749,0.477,-0.2,-0.6,0.0,-0.62,0.0,True
partial,medium,UKF + CTRV,EKF + CTRV (chan w),499,421,0.4749,0.477,-0.2,-1.2,0.8,-1.21,0.82,True
partial,short,KF + CV,EKF + CTRV,306,266,0.5261,0.5261,0.0,-1.31,1.31,-1.31,1.32,True
partial,short,KF + CV,UKF + CTRV,306,266,0.5261,0.5196,0.65,-0.65,1.96,-0.65,2.01,True
partial,short,KF + CV,EKF + CTRV (chan w),306,266,0.5261,0.5294,-0.33,-1.63,0.98,-1.69,1.02,True
partial,short,EKF + CTRV,UKF + CTRV,306,266,0.5261,0.5196,0.65,0.0,1.63,0.0,1.66,True
partial,short,EKF + CTRV,EKF + CTRV (chan w),306,266,0.5261,0.5294,-0.33,-0.98,0.0,-1.02,0.0,True
partial,short,UKF + CTRV,EKF + CTRV (chan w),306,266,0.5196,0.5294,-0.98,-2.29,0.0,-2.27,0.0,True
